t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
1.524120,0.375937,0.116843,0.158181,2.723125,0.342687,1.196534
1.527520,0.375853,0.116910,0.158256,2.722650,0.343985,1.198373
1.530545,0.375736,0.116981,0.158343,2.725710,0.343425,1.199096
1.533906,0.375781,0.117084,0.158547,2.725852,0.342694,1.204913
1.537337,0.375746,0.117203,0.158738,2.725272,0.345147,1.205051
1.541000,0.375579,0.117176,0.158705,2.731292,0.335907,1.203768
1.544271,0.375405,0.117094,0.158645,2.734029,0.332320,1.202192
1.547518,0.375175,0.117008,0.158537,2.734749,0.333084,1.198751
1.550838,0.374991,0.116912,0.158440,2.733986,0.335321,1.194920
1.553950,0.374930,0.116903,0.158446,2.734983,0.331753,1.200258
1.557252,0.374870,0.116977,0.158527,2.729298,0.343238,1.200485
1.560803,0.374811,0.117053,0.158605,2.726804,0.348427,1.199599
1.563994,0.374851,0.117017,0.158699,2.724721,0.348664,1.203757
1.567369,0.374894,0.116880,0.158782,2.717250,0.355185,1.206799
1.570570,0.374894,0.116640,0.158776,2.708838,0.364298,1.204787
1.574246,0.374814,0.116440,0.158651,2.706327,0.365236,1.207248
1.577513,0.374721,0.116175,0.158486,2.699750,0.371839,1.206604
1.580748,0.374601,0.116018,0.158391,2.692069,0.380137,1.202350
1.584050,0.374513,0.115972,0.158383,2.688715,0.382481,1.202621
1.587690,0.374422,0.115938,0.158396,2.686067,0.383643,1.202845
1.590765,0.374413,0.115870,0.158513,2.677805,0.390379,1.200221
1.594219,0.374328,0.116141,0.158741,2.681177,0.386639,1.205628
1.597336,0.374139,0.116484,0.158879,2.685772,0.385069,1.206943
1.600728,0.373915,0.116804,0.158930,2.692250,0.383127,1.205475
1.603879,0.373816,0.117013,0.159015,2.691451,0.383714,1.210320
1.607631,0.373722,0.117225,0.159093,2.692567,0.384488,1.212089
1.610634,0.373722,0.117180,0.159103,2.691945,0.386868,1.211675
1.614069,0.373703,0.117123,0.159104,2.685752,0.389777,1.216909
1.617314,0.373666,0.117068,0.159145,2.681909,0.391340,1.218366
1.620644,0.373480,0.117129,0.159128,2.685056,0.390726,1.215625
1.623907,0.373312,0.117591,0.159369,2.691687,0.384971,1.221042
1.626866,0.373129,0.118024,0.159638,2.693049,0.382080,1.225946
1.630709,0.373046,0.118378,0.159930,2.691815,0.383853,1.228081
1.633963,0.372932,0.118766,0.160156,2.696203,0.379212,1.233857
1.637254,0.372838,0.119299,0.160449,2.700994,0.372343,1.241751
1.640585,0.372673,0.119439,0.160481,2.701612,0.368242,1.244925
1.644083,0.372490,0.119580,0.160461,2.700230,0.367813,1.247574
1.647375,0.372225,0.119756,0.160422,2.707601,0.360699,1.248523
1.650956,0.371892,0.119929,0.160322,2.709104,0.360376,1.245888
1.654089,0.371552,0.119945,0.160154,2.709262,0.361514,1.242226
1.657419,0.371146,0.120114,0.160063,2.711989,0.362587,1.237286
1.660856,0.370721,0.120299,0.159996,2.716790,0.359755,1.233295
1.677782,0.370316,0.120473,0.159951,2.712708,0.365727,1.232837
1.679295,0.369986,0.120632,0.160003,2.709358,0.368531,1.235496
1.688734,0.369659,0.120879,0.160178,2.703866,0.374477,1.240019
1.692942,0.369446,0.120978,0.160309,2.694714,0.381902,1.246073
1.696203,0.369263,0.121100,0.160438,2.685289,0.390664,1.251409
1.703968,0.369087,0.121289,0.160572,2.683542,0.392670,1.255274
1.705636,0.368883,0.121526,0.160692,2.680402,0.397100,1.258730
1.715955,0.368527,0.121714,0.160645,2.681221,0.400990,1.256734
1.717242,0.368108,0.122011,0.160699,2.680769,0.405775,1.257489
1.737051,0.367701,0.122270,0.160773,2.681095,0.410140,1.256862
1.748220,0.367278,0.122505,0.160838,2.679322,0.413520,1.258420
1.751544,0.366944,0.122718,0.160948,2.677642,0.416182,1.260715
1.754446,0.366755,0.122901,0.161117,2.675036,0.416876,1.265769
1.761921,0.366618,0.122971,0.161198,2.672888,0.418380,1.265538
1.763961,0.366436,0.123079,0.161266,2.668329,0.421463,1.269138
1.773404,0.366337,0.123246,0.161393,2.667280,0.422967,1.272580
1.775379,0.366217,0.123392,0.161472,2.663790,0.426799,1.276586
1.783232,0.366072,0.123561,0.161538,2.661800,0.429607,1.279481
