t_sec,wall_time,trial_time,action,command,status,message
533.988904,1787193020.854123,5.709698,thumb_in,@ROG<11>&,error,source=10.12.194.1:33361; rpi_wall=1785025315.9021628; rpi_monotonic=873.022533259; [Errno 111] Connection refused
534.042351,1787193020.907569,5.763144,thumb_in,@ROG<11>&,error,source=10.12.194.1:46557; rpi_wall=1785025315.9554722; rpi_monotonic=873.075842895; [Errno 111] Connection refused
534.095145,1787193020.960363,5.815938,thumb_in,@ROG<11>&,error,source=10.12.194.1:42500; rpi_wall=1785025316.008135; rpi_monotonic=873.128505811; [Errno 111] Connection refused
534.149790,1787193021.015008,5.870583,thumb_in,@ROG<11>&,error,source=10.12.194.1:34965; rpi_wall=1785025316.060941; rpi_monotonic=873.181311176; [Errno 111] Connection refused
534.203227,1787193021.068446,5.924021,thumb_in,@ROG<11>&,error,source=10.12.194.1:35578; rpi_wall=1785025316.113916; rpi_monotonic=873.234286436; [Errno 111] Connection refused
534.255529,1787193021.120748,5.976322,thumb_in,@ROG<11>&,error,source=10.12.194.1:52827; rpi_wall=1785025316.1672215; rpi_monotonic=873.287592322; [Errno 111] Connection refused
534.306853,1787193021.172072,6.027647,thumb_in,@ROG<11>&,error,source=10.12.194.1:38311; rpi_wall=1785025316.2201622; rpi_monotonic=873.340532426; [Errno 111] Connection refused
534.360294,1787193021.225513,6.081088,thumb_in,@ROG<11>&,error,source=10.12.194.1:55993; rpi_wall=1785025316.273553; rpi_monotonic=873.39392352; [Errno 111] Connection refused
534.412980,1787193021.278198,6.133773,thumb_in,@ROG<11>&,error,source=10.12.194.1:35415; rpi_wall=1785025316.3262966; rpi_monotonic=873.446667165; [Errno 111] Connection refused
534.471226,1787193021.336445,6.192019,thumb_in,@ROG<11>&,error,source=10.12.194.1:36273; rpi_wall=1785025316.3791437; rpi_monotonic=873.499513676; [Errno 111] Connection refused
534.519904,1787193021.385122,6.240697,thumb_in,@ROG<11>&,error,source=10.12.194.1:53435; rpi_wall=1785025316.4321938; rpi_monotonic=873.55256477; [Errno 111] Connection refused
534.572317,1787193021.437536,6.293110,thumb_in,@ROG<11>&,error,source=10.12.194.1:57894; rpi_wall=1785025316.485643; rpi_monotonic=873.606013572; [Errno 111] Connection refused
534.625237,1787193021.490456,6.346031,thumb_in,@ROG<11>&,error,source=10.12.194.1:38994; rpi_wall=1785025316.538585; rpi_monotonic=873.658955603; [Errno 111] Connection refused
