t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.823743,0.358764,-0.051043,0.400422,2.335059,0.594018,0.703240
0.831516,0.358875,-0.050845,0.399931,2.340187,0.588173,0.707713
0.842920,0.358957,-0.050667,0.399443,2.342986,0.587533,0.709782
0.845321,0.358944,-0.050223,0.398669,2.348659,0.588532,0.712226
0.863800,0.358930,-0.049822,0.397986,2.348848,0.598192,0.709738
0.877064,0.358920,-0.049423,0.397362,2.353394,0.601430,0.712121
0.880008,0.358949,-0.049025,0.396701,2.357838,0.603208,0.714413
0.886366,0.358962,-0.048579,0.395939,2.366268,0.598486,0.717934
0.895111,0.359037,-0.048446,0.395539,2.372141,0.598249,0.719737
0.907352,0.359167,-0.048190,0.395177,2.375741,0.596781,0.720652
0.909141,0.359415,-0.047897,0.394740,2.381091,0.593420,0.725141
0.921722,0.359710,-0.047448,0.394345,2.393665,0.581015,0.733830
0.931961,0.360037,-0.047031,0.394009,2.410595,0.559198,0.748873
0.939063,0.360423,-0.046141,0.393363,2.425729,0.536003,0.764252
0.942536,0.360531,-0.045681,0.393049,2.442522,0.515715,0.779600
0.949255,0.360658,-0.044906,0.392477,2.459376,0.495046,0.793217
0.953059,0.360811,-0.044560,0.392221,2.466373,0.485923,0.800735
0.963249,0.361014,-0.043933,0.391880,2.468403,0.487827,0.803084
0.988843,0.363944,-0.041634,0.390475,2.451310,0.522244,0.808622
0.992222,0.363968,-0.041626,0.390435,2.449507,0.529327,0.803860
0.998496,0.364186,-0.041157,0.390112,2.454442,0.522928,0.807272
1.002251,0.364274,-0.040892,0.389862,2.455489,0.519582,0.807577
1.009441,0.364455,-0.040378,0.389337,2.462861,0.505388,0.813787
1.012722,0.364503,-0.040287,0.389128,2.468732,0.502334,0.817354
1.019127,0.364678,-0.039476,0.388649,2.477309,0.485681,0.827203
1.022846,0.365042,-0.038593,0.388405,2.475899,0.496036,0.825176
1.026077,0.365389,-0.037728,0.388204,2.475029,0.506970,0.824179
1.029272,0.365767,-0.036869,0.388035,2.477971,0.507011,0.827847
1.032784,0.366045,-0.036368,0.387819,2.472267,0.520944,0.824490
1.036183,0.366299,-0.035785,0.387622,2.470712,0.526354,0.824446
1.039530,0.366259,-0.035596,0.387340,2.474945,0.515309,0.829389
1.043158,0.366310,-0.035173,0.386962,2.481735,0.505933,0.834492
1.046243,0.366357,-0.034785,0.386603,2.466051,0.538466,0.824079
1.048901,0.366561,-0.034374,0.386442,2.464875,0.542662,0.823905
1.059315,0.367687,-0.033189,0.386360,2.448949,0.574574,0.812899
1.062848,0.368008,-0.032848,0.386365,2.431637,0.607320,0.803134
1.069389,0.368386,-0.031931,0.386032,2.412212,0.639019,0.792436
1.073004,0.368438,-0.031636,0.385857,2.421568,0.627069,0.796466
1.079224,0.368687,-0.029993,0.385416,2.426111,0.620392,0.794809
1.083069,0.368680,-0.028968,0.385099,2.438228,0.612225,0.793853
1.093114,0.368207,-0.025983,0.383865,2.446180,0.608801,0.790816
1.099578,0.368053,-0.024916,0.383345,2.457738,0.594700,0.792163
1.102760,0.368101,-0.024534,0.383217,2.459886,0.598462,0.786103
1.119126,0.369268,-0.020826,0.382296,2.444669,0.646048,0.774459
1.123198,0.369390,-0.020664,0.382258,2.444669,0.646048,0.774459
1.129537,0.369500,-0.020486,0.382223,2.444669,0.646048,0.774459
